Time,Acceleration,Velocity,Position
8.00,1.00,0.00,0.00
19.00,1.04,0.00,0.00
32.00,1.07,0.00,0.00
43.00,1.06,0.00,0.00
56.00,1.03,0.00,0.00
68.00,1.01,0.00,0.00
79.00,0.99,0.00,0.00
92.00,0.99,0.00,0.00
103.00,1.02,0.00,0.00
116.00,1.03,0.00,0.00
128.00,1.03,0.00,0.00
140.00,1.03,0.00,0.00
152.00,1.01,0.00,0.00
164.00,0.99,0.00,0.00
176.00,0.98,0.00,0.00
187.00,0.97,0.00,0.00
200.00,0.99,0.00,0.00
211.00,1.00,0.00,0.00
223.00,1.02,0.00,0.00
236.00,1.03,0.00,0.00
248.00,1.01,0.00,0.00
259.00,0.99,0.00,0.00
272.00,0.97,0.00,0.00
283.00,0.96,0.00,0.00
296.00,0.99,0.00,0.00
308.00,1.02,0.00,0.00
319.00,1.04,0.00,0.00
332.00,1.06,0.00,0.00
344.00,1.05,0.00,0.00
355.00,1.03,0.00,0.00
368.00,1.01,0.00,0.00
379.00,0.98,0.00,0.00
392.00,0.97,0.00,0.00
404.00,0.98,0.00,0.00
415.00,1.01,0.00,0.00
428.00,1.03,0.00,0.00
439.00,1.03,0.00,0.00
452.00,1.02,0.00,0.00
464.00,1.01,0.00,0.00
475.00,1.00,0.00,0.00
487.00,1.01,0.00,0.00
500.00,1.01,0.01,0.00
512.00,1.01,0.01,0.00
523.00,0.97,0.01,0.00
535.00,0.97,0.01,0.00
548.00,0.98,0.01,0.00
559.00,0.99,0.01,0.00
571.00,1.05,0.01,0.00
584.00,1.07,0.01,0.00
595.00,1.08,0.01,0.00
607.00,1.06,0.01,0.00
620.00,1.00,0.01,0.00
632.00,0.97,0.01,0.00
643.00,0.95,0.01,0.00
656.00,0.95,0.01,0.00
668.00,0.99,0.01,0.00
679.00,1.02,0.01,0.00
691.00,1.03,0.01,0.00
704.00,1.03,0.01,0.00
715.00,1.01,0.01,0.00
727.00,1.00,0.01,0.00
740.00,0.99,0.01,0.00
752.00,0.99,0.01,0.00
763.00,0.98,0.01,0.00
776.00,0.96,0.01,0.00
788.00,0.95,0.01,0.00
799.00,0.94,0.01,0.00
811.00,0.97,0.01,0.00
824.00,1.00,0.01,0.00
835.00,1.00,0.01,0.00
847.00,1.00,0.01,0.00
860.00,0.96,0.01,0.00
872.00,0.93,0.01,0.00
883.00,0.81,0.01,0.00
896.00,0.71,0.01,0.00
908.00,0.63,0.01,0.00
919.00,0.51,0.01,0.00
932.00,0.60,0.01,0.00
943.00,-0.32,0.01,0.00
955.00,0.08,0.01,0.00
968.00,-0.01,0.01,0.00
979.00,-0.04,0.01,0.00
991.00,-0.02,0.01,0.00
1004.00,-0.06,0.01,0.01
1016.00,-0.05,0.01,0.01
1027.00,-0.04,0.01,0.01
1039.00,-0.04,0.01,0.01
1051.00,-0.04,0.01,0.01
1064.00,0.12,0.01,0.01
1076.00,-0.28,0.01,0.01
1087.00,4.00,0.01,0.01
1100.00,-0.03,0.01,0.01
1111.00,1.20,0.01,0.01
1123.00,1.33,0.01,0.01
1136.00,0.20,0.01,0.01
1147.00,1.37,0.01,0.01
1159.00,1.46,0.01,0.01
1172.00,1.02,0.01,0.01
1183.00,0.56,0.01,0.01
1196.00,0.64,0.01,0.01
1208.00,0.85,0.01,0.01
1219.00,1.03,0.01,0.01
1232.00,1.12,0.01,0.01
1243.00,0.93,0.01,0.01
1256.00,1.28,0.01,0.01
1268.00,0.85,0.01,0.01
1279.00,1.04,0.01,0.01
1292.00,0.99,0.01,0.01
1303.00,0.90,0.01,0.01
1316.00,0.95,0.01,0.01
1328.00,0.96,0.01,0.01
1339.00,0.98,0.01,0.01
1352.00,0.99,0.01,0.01
1363.00,0.98,0.01,0.01
1376.00,0.97,0.01,0.01
1388.00,0.98,0.01,0.01
1399.00,0.97,0.01,0.01
1412.00,0.98,0.01,0.01
1423.00,0.97,0.01,0.01
1436.00,0.98,0.01,0.01
1448.00,0.99,0.01,0.01
1459.00,0.98,0.01,0.01
1472.00,1.00,0.01,0.01
1483.00,1.01,0.01,0.01
1496.00,1.01,0.01,0.01
1508.00,1.03,0.01,0.01
1519.00,1.04,0.01,0.01
1532.00,1.04,0.01,0.01
1543.00,1.04,0.01,0.01
1556.00,1.02,0.01,0.01
1568.00,1.02,0.01,0.01
1579.00,1.01,0.01,0.01
1592.00,1.02,0.01,0.01
1603.00,1.02,0.01,0.01
1616.00,1.02,0.01,0.01
1628.00,1.01,0.01,0.01
1639.00,0.99,0.01,0.01
1652.00,0.99,0.02,0.01
1663.00,1.00,0.02,0.01
1676.00,1.00,0.02,0.01
1688.00,1.01,0.02,0.01
1699.00,1.04,0.02,0.01
1712.00,1.00,0.02,0.01
1723.00,0.97,0.02,0.01
1736.00,0.99,0.02,0.01
1748.00,0.99,0.02,0.01
1759.00,1.00,0.02,0.01
1772.00,1.00,0.02,0.01
1783.00,1.02,0.02,0.01
1796.00,1.03,0.02,0.02
1808.00,1.02,0.02,0.02
1819.00,1.01,0.02,0.02
1832.00,1.02,0.02,0.02
1843.00,1.01,0.02,0.02
1856.00,0.99,0.02,0.02
1868.00,0.99,0.02,0.02
1879.00,0.99,0.02,0.02
1892.00,1.00,0.02,0.02
1903.00,0.99,0.02,0.02
1916.00,0.99,0.02,0.02
1928.00,1.00,0.02,0.02
1939.00,1.04,0.02,0.02
1952.00,1.04,0.02,0.02
1963.00,1.03,0.02,0.02
1976.00,1.02,0.02,0.02
1988.00,1.01,0.02,0.02
1999.00,1.01,0.02,0.02
2012.00,1.01,0.02,0.02
2023.00,1.00,0.02,0.02
2036.00,0.97,0.02,0.02
2048.00,0.97,0.02,0.02
2059.00,0.97,0.02,0.02
2072.00,0.97,0.02,0.02
2083.00,0.97,0.02,0.02
2096.00,0.98,0.02,0.02
2108.00,0.98,0.02,0.02
2119.00,0.98,0.02,0.02
2132.00,0.96,0.02,0.02
2143.00,0.95,0.02,0.02
2156.00,0.95,0.02,0.02
2168.00,0.97,0.02,0.02
2179.00,0.98,0.02,0.02
